X,Y,OBJECTID,PARK_NAME,DPP_ASSET_ID,PROGRAM_TYPE,SITE_CLASS,BUILDING,GYM,LABEL_NUMBER,COMMENTS,DATA_SOURCE,Staff FT (program and maintenance),Staff PT
-75.16983191,40.06468648,3,Charles M Finley Playground,1989,PPR_REC,A,Y,Y,40, ,Programs 9/2021,3,1
-75.17151936,39.94211853,5,Marian Anderson Recreation Center,1901,PPR_REC,A,Y,Y,6, ,Programs 9/2021,3,1
-75.15406983,39.91564174,15,Lawrence E Murphy Recreation Center,1919,PPR_REC,A,Y,Y,97, ,Programs 9/2021,3,1
-75.17304961,39.92287371,16,Thomas I Guerin Recreation Center,1865,PPR_REC,A,Y,Y,51, ,Programs 9/2021,3,1
-75.18886295,39.93137988,19,George A Vare Recreation Center,1966,PPR_REC,A,Y,Y,138, ,Programs 1/2022,3,1
-75.16434979,39.93325422,20,Columbus Square,966,PPR_REC,A,Y,N,28, ,Programs 9/2021,3,1
-75.15848785,39.94136194,27,Walter Palumbo Recreation Center,1927,PPR_REC,A,Y,Y,103, ,Programs 9/2021,3,1
-75.21701254,39.94284846,28,Kingsessing Recreation Center,1886,PPR_REC,A,Y,Y,72, ,Programs 9/2021,3,1
-75.23441297,39.94889501,29,Albert W Christy Sr Recreation Center,1829,PPR_REC,A,Y,Y,22, ,Programs 9/2021,3,1
-75.14346019,39.96275069,30,Northern Liberties Recreation Center,1921,PPR_REC,A,Y,Y,100, ,Programs 9/2021,3,1
-75.12780419,39.97185194,38,Fishtown Recreation Center,1856,PPR_REC,A,Y,N,41, ,Programs 9/2021,3,1
-75.13233696,39.97756361,41,Dan Shissler Recreation Center,1844,PPR_REC,A,Y,Y,124, ,Programs 9/2021,3,1
-75.16995131,39.98081653,43,Dr Martin Luther King Jr Recreation Center,1985,PPR_REC,A,Y,Y,82, ,Programs 9/2021,3,1
-75.11255696,39.98412862,50,Cohocksink Recreation Center,1838,PPR_REC,A,Y,Y,27, ,Programs 9/2021,3,1
-75.17484853,39.98759003,51,Eric W (Hank) Gathers Jr Recreation Center,1852,PPR_REC,A,Y,Y,47, ,Programs 9/2021,3,1
-75.0970003,39.99068624,52,Bernard Samuel Playground,1948,PPR_REC,A,Y,Y,118, ,Programs 9/2021,3,1
-75.09865666,39.99770506,54,Robert T Heitzman Recreation Center,1870,PPR_REC,A,Y,Y,57, ,Programs 9/2021,3,1
-75.13762017,40.00044753,55,Ramonita Negron Rivera Recreation and Community Center,1941,PPR_REC,A,Y,Y,113,Closed for Rebuild,Programs 9/2021,3,1
-75.12154861,40.00016946,56,Sergeant John J McVeigh Recreation Center,1908,PPR_REC,A,Y,Y,89, ,Programs 9/2021,3,1
-75.06818741,39.99952346,57,Bridesburg Recreation Center,1822,PPR_REC,A,Y,Y,14, ,Programs 9/2021,3,1
-75.10836046,40.00145766,60,Joseph A Scanlon Playground,1950,PPR_REC,A,Y,N,120, ,Programs 9/2021,3,1
-75.20358875,40.01335603,62,Gustine Recreation Center,1984,PPR_REC,A,Y,Y,52, ,Programs 9/2021,3,1
-75.14365306,40.01766214,65,Hunting Park,845,PPR_REC,A,Y,Y,64, ,Programs 9/2021,3,1
